Time/Tenor 1d_Hist 1d_Low 1d_High 7d_Hist 7d_Low 7d_High 21d_Hist 21d_Low 21d_High 42d_Hist 42d_Low 42d_High 63d_Hist 63d_Low 63d_High 126d_Hist 126d_Low 126d_High 252d_Hist 252d_Low 252d_High
0.345238 0.0575 0.0498816 0.0663361 0.0575 0.0499204 0.0661588 0.0541156 0.050005 0.0658265 0.0536297 0.050151 0.0653926 0.0532781 0.0504334 0.0651419 0.0525 0.0509642 0.0642443 0.0524875 0.0517171 0.0625123
0.349206 0.0601016 0.0499034 0.0663996 0.06 0.0499231 0.066251 0.0541031 0.0499948 0.0658852 0.0535297 0.0502097 0.0654324 0.0531313 0.0505557 0.0651543 0.0523875 0.0511575 0.0641845 0.052275 0.0518168 0.0624606
0.353175 0.0635008 0.0495111 0.0660707 0.0585938 0.0495545 0.0659311 0.0537414 0.0496495 0.0656109 0.0531727 0.0498433 0.0652116 0.0528094 0.0501551 0.0649639 0.0520953 0.0507967 0.0640787 0.051986 0.0516114 0.0624411
0.357143 0.0669 0.0495925 0.0663616 0.0571875 0.0496456 0.0662002 0.0533797 0.0497623 0.0658375 0.0528156 0.0500007 0.0654034 0.0524875 0.0503293 0.065126 0.0518031 0.0509543 0.0640349 0.0516969 0.0516317 0.0624345
0.361111 0.0669719 0.0496742 0.0663657 0.055 0.0497021 0.066219 0.0531094 0.0497617 0.0658827 0.0526625 0.0499331 0.065489 0.0523875 0.0502118 0.0652163 0.0516672 0.0508451 0.0642554 0.0515859 0.051449 0.0624782
0.365079 0.0597875 0.0495397 0.0665309 0.0533781 0.0496094 0.0663739 0.0527391 0.0497634 0.066014 0.0523875 0.0500345 0.0656006 0.0520609 0.0503246 0.0653448 0.0515375 0.05083 0.0642572 0.0515234 0.0514278 0.0623906
0.369048 0.0579219 0.0496651 0.0661385 0.0542922 0.0497144 0.0660096 0.052775 0.0498191 0.0656887 0.0524625 0.0500621 0.0652103 0.0521953 0.0503314 0.0648762 0.0517125 0.0507364 0.0638972 0.0517719 0.0512511 0.0622054
0.373016 0.0574609 0.0494384 0.0662319 0.05445 0.0494685 0.0660489 0.0529031 0.0495333 0.0656903 0.052525 0.0497561 0.0653257 0.052325 0.0500171 0.0650332 0.0521328 0.0505525 0.0641926 0.0524 0.051162 0.0626336
0.376984 0.0606578 0.049087 0.0663354 0.055 0.0491097 0.0661831 0.0529656 0.0492001 0.0658344 0.0526 0.0494785 0.0654825 0.0523625 0.0497759 0.065186 0.0521953 0.0503864 0.0641941 0.0525125 0.0510697 0.0624589
0.380952 0.0525 0.0489815 0.0665351 0.0520031 0.0490251 0.0663896 0.052575 0.0491204 0.0660557 0.0524 0.0494176 0.0657395 0.0522836 0.0496902 0.0654585 0.0521203 0.0503194 0.0645058 0.0524875 0.051034 0.0625216
0.384921 0.0512188 0.0491105 0.0666952 0.05 0.0491582 0.0665322 0.0518938 0.0492629 0.066159 0.0520859 0.0495888 0.0658026 0.0520984 0.049897 0.0654675 0.0520984 0.0504555 0.0644754 0.05265 0.0510149 0.0625643
0.388889 0.0508344 0.0492857 0.0667327 0.0516313 0.049333 0.0665871 0.052025 0.0494273 0.0662531 0.0520969 0.049613 0.0659676 0.0521578 0.0499564 0.0656815 0.0522594 0.0504914 0.0647219 0.0530828 0.0511834 0.0626088
0.392857 0.0525 0.0490568 0.0667454 0.0515203 0.0491094 0.0665728 0.0520375 0.049225 0.0661778 0.0521359 0.049598 0.0658222 0.0522375 0.0499159 0.0654535 0.05255 0.0505185 0.0643866 0.0536188 0.0512498 0.0627171
0.396825 0.05 0.048952 0.0664415 0.05 0.0489972 0.0662649 0.0518438 0.0490964 0.0658856 0.05205 0.0494628 0.0656408 0.0521719 0.0497573 0.0653584 0.052475 0.0503664 0.0644193 0.0534 0.0510516 0.0627212
0.400794 0.05 0.0486575 0.0669926 0.05 0.0487113 0.0668321 0.051775 0.0488297 0.0664668 0.0519875 0.0492393 0.0661929 0.0521344 0.0495563 0.0658613 0.052375 0.050227 0.064767 0.0533156 0.0509732 0.0627718
0.404762 0.04985 0.04833 0.0669214 0.0497125 0.0484337 0.0667636 0.0517875 0.0486648 0.0663976 0.051975 0.0490905 0.0661244 0.0520875 0.0493825 0.06581 0.0523125 0.049993 0.0646267 0.0531703 0.050736 0.0626849
0.40873 0.0473359 0.0484642 0.0668418 0.05 0.0485222 0.066696 0.0519063 0.0486907 0.0663612 0.0521578 0.0492276 0.0661564 0.0522094 0.049521 0.0658068 0.0523875 0.0501321 0.0647371 0.0534438 0.0508937 0.0627369
0.412698 0.048093 0.0482377 0.0669933 0.05125 0.0482934 0.0668281 0.0522094 0.0484162 0.0664498 0.0523039 0.0488826 0.0661894 0.0523172 0.049204 0.0658179 0.0524437 0.0499231 0.0647168 0.0535719 0.0508219 0.0626838
